knm_05927_01699170109	ಬಾಗಿಲಿಗೆ ಬಂದ ಜ್ಯೋತಿಯನ್ನು ಸ್ವಾಗತಿಸಿ
knm_01114_02131004156	ವಿಳಂಬಗಳಿಂದಾಗಿ ಎರಡು ಸಾವಿರ ಹನ್ನೊಂದನೇ ವರ್ಷದಲ್ಲಿ ಸಂಪೂರ್ಣಗೊಳ್ಳುವುದೆಂದು ಪುನಃ ಅಂದಾಜುಮಾಡಲಾಯಿತು
knm_04526_01784604936	ದೊಡ್ಡ ನಾಡಿಗಳು ಧಮನಿಗಳು
knm_04705_01735869449	ಪನ್ನಾ ಎಂಬ ಜಿಲ್ಲೆಯಲ್ಲಿ ವಜ್ರದ ಗಣಿಗಳಿವೆ.
knm_00180_01032527602	ತಾರ್ಕಿಕ ಸಿದ್ಧಾಂತ
knm_01114_01733197529	ಇದರೊಂದಿಗೆ ಹೈನುಗಾರಿಕೆಯು ಪ್ರಮುಖ ಉದ್ಯೋಗವಾಗಿದೆ
knm_00271_01073654763	ಶಸ್ತ್ರ ಚಿಕಿತ್ಸೆಯಲ್ಲಿ ಕತ್ತಿ ಮುಂತಾದ ಶಲ್ಯಗಳು ಇವನ್ನು ಸೋಕಿದರೆ ಅಪಾಯ ಎಂದು ಹೇಳಲಾಗಿದೆ.
knm_03197_01853506118	ಅಂಕೋಲಮ್ ಎಂಬುವುದು ಮಲೆಯಾಳಮ್ ಭಾಷೆ
knm_00271_00720410666	ನೀವು ನಿಮ್ಮ ಗಮ್ಯಸ್ಥಾನವನ್ನು ತಲುಪುತ್ತೀರಿ.
knm_02533_01776562000	ಎಡ ದಲ್ಲಿ ನಿರ್ಗಮಿಸಿ
knm_02910_00861523707	ಕೇವಲ ರಾಜ್ಯ ಗಳು ಮಾತ್ರ ಇಂತಹ ಕಲಹಗಳ ಬಗೆಹರಿಸುವ ಪ್ರಕರಣಗಳಲ್ಲಿ ಪಕ್ಷಗಾರರಾಗಿರುತ್ತವೆ.
knm_06788_00979870381	ರಾಕೆಟ್ ವಿಜ್ಞಾನ
knm_09877_01579354608	ಹುಡುಕಾಟದ ಫಲಿತಾಂಶಗಳನ್ನು ಸಾಮಾನ್ಯವಾಗಿ ಒಂದು ಪಟ್ಟಿಯ ರೂಪದಲ್ಲಿ ಪ್ರಸ್ತುತಪಡಿಸಲಾಗುತ್ತದೆ ಮತ್ತು ಇವನ್ನು ಹಿಟ್ಸ್ ಎಂದು ಕರೆಯಲಾಗುತ್ತದೆ.
knm_02894_00839207207	ಅಂತರಿಕ್ಷದೇವತೆಗಳಲ್ಲಿ ರುದ್ರನೂ ಸೇರಿದ್ದಾನೆ.
knm_00378_01481393426	ಕೆಲವು ರಾಜ್ಯಗಳು ಇಂತಹ ಪ್ರಕರಣಗಳ ಇತ್ಯರ್ಥಕ್ಕೆ ನ್ಯಾಯಾಲಯವನ್ನು ಅವಲಂಬಿಸದೇ ಅದರ ತೀರ್ಪನ್ನೂ ಕೂಡ ತಿರಸ್ಕರಿಸಬಹುದಾಗಿದೆ.
knm_06230_01354268124	ಆದ್ದರಿಂದಲೇ ಶರೀರಕ್ರಿಯಾವಿಜ್ಞಾನವನ್ನು ನೋಡಬೇಕು.
knm_02352_00695383559	ಇದನ್ನು ಹೋಮೋಲೆಸಿತಲ್ ಎನ್ನುವರು.
knm_04705_01063045145	ವಿಷಯವನ್ನು ಸಂಗ್ರಹಿಸಿ ಒಂದು ನಕ್ಷೆಯನ್ನು ತಯಾರಿಸಬಹುದು.
knm_05927_01695983387	ಇಂಥ ಘಟನೆಗಳಲ್ಲಿ ನಾಗರಿಕರೂ ಭಾಗವಹಿಸುವುದರಿಂದ ಮತ್ತು ಹಿಂಸಾಕೃತ್ಯಗಳು ನಡೆಯುವುದರಿಂದ ಇವಕ್ಕೆ ಅಂತರ್ಯುದ್ಧಗಳೆಂದು ಹೆಸರಾಗಿದೆ
knm_00180_01979139119	ಅಂಜೂರದ ವ್ಯವಸಾಯಕ್ಕೆ ಅತಿ ಫಲವತ್ತಾದ ಮಣ್ಣು ಬೇಕಾಗಿಲ್ಲ
knm_06230_00132339674	ಇದು ಒಂದು ಪೊದೆ ಸಸ್ಯ.
knm_04689_01975694503	ಪ್ರಕೃತಿಯ ಮಹತ್ಕಾರ್ಯಗಳನ್ನೆಲ್ಲ ಆಕಾಶ ದೇವತೆಗೆ ಹೇಳಿರುವುದರ ಅರ್ಥ ಸ್ಪಷ್ಟವಾಗುವುದು.
knm_00180_01994023075	ಈ ಚಿತ್ರಗಳ ಆಸೆಯಿಂದಾಗಿ ಇಂಥ ಚೀಟಿಗಳನ್ನು ಸಂಗ್ರಹಿಸುವುದೇ ಅನೇಕರ ಹವ್ಯಾಸವಾಗಿದೆ.
knm_00417_00700549465	ನೀವು ನಿಮ್ಮ ಗಮ್ಯಸ್ಥಾನವನ್ನು ತಲುಪುತ್ತೀರಿ.
knm_00574_01541345543	ಇದಾದಮೇಲೆ ವಿಯೆನ್ನಾದಲ್ಲಿ ಸಾವಿರದ ಒಂಭೈನೂರ ಹರಿನಾಲ್ಕರಲ್ಲಿ ಸೇರಿದ ಸಮ್ಮೇಳನದಲ್ಲಿಯೂ ಈ ಪ್ರಶ್ನೆಯ ಚರ್ಚೆಗೆ ಇನ್ನೂ ಹೆಚ್ಚು ಪ್ರಾಶಸ್ತ್ಯ ದೊರೆಯಿತು
knm_05927_01284176879	ಪ್ರಾಣ
knm_00417_01029527050	ಇಳಿಜಾರಿನಲ್ಲಿ ಮುಂದುವರಿಸಿ
knm_01402_00421338272	ಸಂಚಿತ ಠೇವಣಿ ಮೊತ್ತ ರೂಪಾಯಿಗಳು
knm_04992_00895591669	ವಿಶಿಷ್ಟವೆನಿಸುವಂತೆ
knm_03197_00565590958	ವಿದೇಶಿ ವ್ಯವಹಾರವು ತೀವ್ರ ಪೈಪೋಟಿ ಸೃಷ್ಟಿಸುತ್ತದೆ.
knm_07524_00050245068	ಧಾರ್ಮಿಕ ಚಿತ್ರಗಳು
knm_04992_01988393458	ತೀರಪ್ರದೇಶ ಹಿತಕರವಾದ ವಾಯುಗುಣವನ್ನು ಹೊಂದಿಲ್ಲ
knm_06230_00046526226	ಅಂಟಿಸುವ ಪದರಗಳನ್ನು ಹೆಚ್ಚು ಒತ್ತಡಕ್ಕೆ ಒಳಪಡಿಸುವುದು ಆವಶ್ಯಕ.
knm_04526_00306702177	ಗಗನಯಾತ್ರೆ ಇಪ್ಪತ್ತರ ಸಿಬ್ಬಂದಿಯನ್ನು ಎರಡು ಪ್ರತ್ಯೇಕ ಸೊಯೆಜ್ ವಿಮಾನಗಳ ಮೂಲಕ ನಿಲ್ದಾಣಕ್ಕೆ ಕಳುಹಿಸಲಾಯಿತು
knm_09140_01245552601	ಅಗತ್ಯವಿದೆ
knm_06230_01433008341	ಆಗ ಮಧ್ಯದಲ್ಲಿ ಸೀಳು ಉಂಟಾಗುತ್ತದೆ
knm_07221_00758933658	ಚರಕಸಂಹಿತೆಯಲ್ಲೇ ಈ ವಿಧಾನ ಹೇಳಿಲ್ಲ.
knm_07918_00344390763	ಅನೇಕ ಸ್ಟೇಷನರಿ ಬಳಕೆಗಳಿಗಾಗಿ ಇವೆ
knm_02910_01319353513	ಕೆಲವು ಜಾಗಗಳಲ್ಲಂತೂ ಅಲ್ಲಿನ ಸುಣ್ಣಕಲ್ಲುಗಳ ತುಂಬ ಇವೇ ತುಂಬಿಕೊಂಡಿವೆ.
knm_04992_01376466131	ಮತಚಲಾಯಿಸುವ ಹಕ್ಕು
knm_04689_01551799385	ಯುದ್ಧೋಪಕರಣಗಳು ಮತ್ತು ಗೆರಿಲ್ಲಾ ಪಡೆಗಳು
knm_07722_00794558679	ಅನೇಕ ಸಂದರ್ಭಗಳು
knm_00180_01188180749	ಹನ್ನೆರಡು ಇಂಚುಗಳಿಗೆ ಒಂದು ಅಡಿ.
knm_01672_01257232352	ಹಿಮದ ರೂಪದಲ್ಲಿರುವ ನೀರು ಪ್ರಮುಖವಾಗಿ ಭೂಮಿಯ ಉತ್ತರ ಮತ್ತು ದಕ್ಷಿಣ ಧ್ರುವಗಳಲ್ಲಿ ಕಂಡುಬರುತ್ತದೆ.
knm_04689_01549231729	ನೀರು
knm_02910_01881379738	ಈ ಅಂಟು ಪದಾರ್ಥಗಳನ್ನು ದ್ರಾವಣಗಳ ರೂಪದಲ್ಲಿ ಬಳಸುವುದಾದರೆ ದ್ರಾವಕವನ್ನು ಆವಿಯಾಗಿಸಬೇಕು.
knm_02533_01391504435	ನೀವು ತಲುಪಿದ್ದೀರಿ.
knm_02894_00066960331	ಬಾವಿಯಿಂದ ನೀರನ್ನು ಪಂಪು ಮಾಡಿದಾಗ ನೀರಿನ ಮಟ್ಟ ಕಡಿಮೆಯಾಗುತ್ತ ಹೋಗುತ್ತದೆ.
knm_03197_00092877894	ಅಂಟು ಚಿತ್ರಣ ಕಲೆ ಎನ್ನುವುದು ಪ್ರಮುಖವಾಗಿ ದೃಗ್ಗೋಚರ ಕಲೆಗಳಲ್ಲಿನ ವ್ಯವಸ್ಥಿತ ಕಲೆ
knm_00574_00067666596	ಮುನ್ನೂರು ಅಡಿಗಳಲ್ಲಿ
knm_04526_01423735476	ಚಿಕಿತ್ಸೆ ಮಾಡಿದರೆ ತಗ್ಗಿದ ಉಷ್ಣತೆಯ ಪ್ರಭಾವ ತಪ್ಪಿ ಹೋಗುತ್ತದೆ
knm_02894_00268521638	ಒಂದು ಕಾಲದಲ್ಲಿ ಈ ದೇವತೆ ವರುಣನಾಗಿ ತುಂಬ ಉದಾತ್ತನಾಗಿ ಕಾಣಿಸುತ್ತಾನೆ.
knm_00417_00709181952	ವೃತ್ತಾಕಾರದಲ್ಲಿ, ರ‍್ಯಾಂಪ್‌ನಲ್ಲಿಗೆ ನಿರ್ಗಮಿಸಿ
knm_01114_01785099367	ನಿಲ್ದಾಣಕ್ಕೆ ಯಾವುದೇ ನಷ್ಟವಾಗಿಲ್ಲವೆಂದು ತಕ್ಷಣವೇ ವರದಿಮಾಡಲಾಗಿತ್ತು
knm_00378_02016627830	ಶಾತವಾಹನರ ಕಾಲದಲ್ಲಿ ಐದು ಎಂಬ ಅಂಕಿ ಎರಡು ರೂಪಗಳಲ್ಲಿ ದೊರೆಯುತ್ತದೆ.
knm_01099_01948197248	ಕೇಶವ ದೇವಾಲಯದ ಮೂರ್ತಿ ಒಂದು ಉತ್ತಮ ಹೊಯ್ಸಳ ಶಿಲ್ಪ.
knm_00811_00180081283	ಅದರಲ್ಲೂ ವಿಶೇಷವಾಗಿ ಅವರಿರುವ ಸ್ಥಳದಲ್ಲಿ ಸೋಂಕು ಹರಡಬಹುದು
knm_06681_01385815476	ಆರನೇ ಶತಮಾನದಲ್ಲಿ ಪ್ರವರ್ಧಮಾನಕ್ಕೆ ಬಂದ ಒಂದು ರಾಜ್ಯವಾಗಿತ್ತು
knm_02352_01516954209	ಹೀಗಿರುವಾಗ 4ನೆಯ ಶತಮಾನದವರೆಗೆ ಈ ಕ್ರಮವು ಇರಲಿಲ್ಲ.
knm_06681_02093588741	ಅಂತಾರಾಷ್ಟ್ರೀಯ ಉಕ್ಕು ಕಾರ್ಟೆಲ್ಲು ಉತ್ಪನ್ನದ ಮೊತ್ತವನ್ನು ಯಶಸ್ವಿಯಾಗಿ ನಿರ್ಬಂಧಿಸಿತ್ತು
knm_09877_01488515142	ಕೇಸಿಯಿನ್ ಅಂಟು ಸರಂಧ್ರವಸ್ತುಗಳನ್ನು ಅಂಟಿಸುವುದಕ್ಕೆ
knm_04689_01225384356	ಅಂಡಾಶಯದಲ್ಲಿ ತತ್ತಿ ಬೆಳೆಯುವ ಹಂತದಲ್ಲಿ ಅನೇಕ ಜೀವಕಣಗಳು ಗ್ರಾಫಿಯನ್ ಫಾಲಿಕಲ್ ರಚನೆಯಲ್ಲಿ ಪಾಲ್ಗೊಳ್ಳುತ್ತವೆ.
knm_04992_01012029824	ಸರ್ಕಾರಿ ಮತ್ತು ಖಾಸಗಿ ಆಸ್ಪತ್ರೆಗಳು
knm_07524_00031785805	ಯಾಕೆಂದರೆ ಅದರ ಘೋಷಣೆಗಳು ಆಯಾ ರಾಜ್ಯಗಳು ಸ್ವಯಂ ಪ್ರೇರಣೆಯಿಂದ ಒಪ್ಪಲ್ಪಡುತ್ತವೆ.
knm_00271_01689467106	ಎಳೆಯುವುದನ್ನು ಬಿಟ್ಟರೆ ಶಕ್ತಿಯು ಚಲನಾತ್ಮಕ ಶಕ್ತಿಯಾಗಿ ಪರಿವರ್ತನೆಯಾಗುತ್ತದೆ.
knm_05066_01394733757	ಅಲ್ಲದೆ
knm_07524_01722219606	ಈ ಒಂದೊಂದು ದೇವತೆಯೂ ಪರತತ್ತ್ವ ಸ್ವರೂಪವೆಂದು ಪ್ರತಿಪಾದಿಸಿರುವುದು ವೈದಿಕ ಧರ್ಮದ ವೈಶಿಷ್ಟ್ಯ.
knm_00417_00447310727	ನೇರವಾಗಿ ಮುಂದುವರಿಯಿರಿ
knm_04689_00182748448	ಈ ಎರಡು ಚಿಹ್ನೆಗಳನ್ನು ಕೂಡಿಸಿ ದೊಡ್ಡ ದೊಡ್ಡ ಸಂಖ್ಯೆಗಳನ್ನು ಬರೆಯುತ್ತಿದ್ದರು.
knm_00574_01758939200	ಮುನ್ನೂರು ಮೀಟರ್‌ಗಳಲ್ಲಿ
knm_06500_00067582165	ಸ್ವಿಟ್ಜರ್ಲೆಂಡಿನ ಬಾಸೆಲ್ ಎಂಬಲ್ಲಿ ಅಂತಾರಾಷ್ಟ್ರೀಯ ತೀರುವೆ ಬ್ಯಾಂಕ್ ಹೀಗೆ ಸ್ಥಾಪನೆಯಾಯಿತು.
knm_04689_01510178774	ಮೊದಲನೆಯ ಮಹಾಯುದ್ಧದ ಅನಂತರ ದ್ವಿತೀಯ ಅಂತಾರಾಷ್ಟ್ರೀಯವು ಪ್ರಪಂಚದ ಶ್ರಮಜೀವಿಗಳ ಮುನ್ನಡೆಗೆ ಕಂಟಕವಾಯಿತಲ್ಲದೆ ಸಮಾಜವಾದದ ಗುರಿಯಿಂದಲೂ ಹಿಮ್ಮೆಟ್ಟಿತು.
knm_06984_00866400530	ಇವೇ ಅಲ್ಲದೆ
knm_02894_00791849142	ಅಲ್ಲದೇ ಕೆಲವು ವ್ಯವಸ್ಥೆಗಳಲ್ಲಿ ಅಗತ್ಯಕ್ಕಿಂತ ಹೆಚ್ಚು ಶೀತಲವನ್ನುಂಟುಮಾಡಿತು.
knm_07918_00101024522	ಅಂಟು ಚಿತ್ರಣವು ಈ ಇನ್ನೂ ಗುರುತಿಸಲ್ಪಡುವ ಪ್ರಾಮುಖ್ಯತೆಗಳನ್ನು ಒಟ್ಟಿಗೆ ಕಲೆಹಾಕಲಾಗುವುದು
knm_08025_01005211078	ತೀರ ಸಾಮಾನ್ಯ
knm_06984_01792045590	ಯುರೋಪಿನ ಅನೇಕ ರಾಷ್ಟ್ರಗಳಲ್ಲಿ ಇದರ ಅಂಗಸಂಸ್ಥೆಗಳ ಸಂಖ್ಯೆ ಹೆಚ್ಚಿತು.
knm_00417_01444549725	ನೇರವಾಗಿ ಮುಂದುವರಿ
knm_02894_00579278647	ಅವರು ಪ್ರಕೃತಿಗಿಂತ ಹೆಚ್ಚು ಸ್ವತಂತ್ರರು.
knm_09877_01386053555	ನಮ್ಮಲ್ಲಿ ಒಣಗಿಸಿ ಮಾರಾಟಕ್ಕೆ ಕಳುಹಿಸುವುದು ಕಡಿಮೆ.
knm_00811_00286463587	ಪ್ರತಿಯೊಂದು ವ್ಯಾಪಾರ ಘಟಕವು ತನ್ನ ದಾಖಲೆಗಳ ಆಧಾರದ ಆನ್ಲೈನ್ ಪ್ರತಿಯನ್ನು ನವೀಕರಿಸಿಕೊಳ್ಳಬಹುದು
knm_09140_01249646213	ಕೊಲಂಬಿಯ ಅಪಘಾತ
knm_07524_00318896617	ಮಲಗಿದವರು ಗೊರಕೆ ಶಬ್ದ ಮಾಡುವಾಗ ಕಿರುನಾಲಿಗೆ ಕಂಪಿಸುತ್ತದೆ.
knm_04992_00776173417	ಟಿಚ್ನರನ ಪ್ರಕಾರ
knm_09140_00915593886	ಸ್ನಾಯು ಅಂಗಾಂಶದಲ್ಲಿನ ನ್ಯೂನತೆಯನ್ನು ಸರಿಪಡಿಸಲಾಗುತ್ತದೆ.
knm_07722_01427622092	ಇಂದ್ರನಂತೆ ನೂರಾರು ಕುದುರೆಗಳು ಹೂಡಿದ ರಥದಲ್ಲಿ ಸಂಚರಿಸುವವನು.
knm_04689_01872164353	ಇದು ಅವರಿಗೆ ಆಟವಾಡುವ ತಂತ್ರದಲ್ಲಿ ಅಮೂಲ್ಯ ಅನುಭವ ಮತ್ತು ಖ್ಯಾತಿಯನ್ನು ತಂದುಕೊಟ್ಟಿತು.
knm_04992_01349994442	ಈ ಎರಡೂ ಬಾನಗಾಡಿಗಳ ವಿಮಾನ
knm_04526_01418551466	ವಿಮಾನದ ವಿನ್ಯಾಸಗಳು ಹಾರಾಟದ ವೇಳೆ ಚಲನಶಕ್ತಿಯನ್ನು ಎದುರಿಸಲು ವಿಮಾನದ ಭೌತಿಕ ವಿನ್ಯಾಸ
knm_07722_01981162315	ಈ ವಿನ್ಯಾಸದ ಫಲವಾಗಿ
knm_04526_00844863683	ಬೆಳವಣಿಗೆಗೆ ಬೇಕಾದ ಅಂಶಗಳು
knm_01114_02117079049	ಮತ್ತೆಲ್ಲವೂ ಅಸತ್ಯ
knm_07918_01928030284	ಅಧಿಕ ಎತ್ತರವನ್ನು ಸಂಪೂರ್ಣಗೊಳಿಸಲು ಅದನು ಏರಿಸಬೇಕಾಗುತ್ತದೆ.
knm_00811_00832419486	ಅದು ಒಂದು ಪ್ರಕಟಣೆಯಲ್ಲಿ ಕ್ರಮಬದ್ಧ ಲೇಖನವಾಗಿರುತ್ತದೆ
knm_04705_00762044876	ಈ ಮರುತ್ತುಗಳು ವರ್ಷಿಸುವಾಗ ವಿದ್ಯುತ್ತುಗಳು ಶಬ್ದ ಮಾಡುತ್ತವೆ.
knm_08025_01977252098	ಯೋಗಶಾಸ್ತ್ರದಲ್ಲಿ ಹೇಳಿರುವಂತೆ ಅಷ್ಟಾಂಗಯೋಗವನ್ನು ಅಭ್ಯಾಸ ಮಾಡಿದರೆ ಮನಸ್ಸು ಶುಚಿಯಾಗಿ ಜೀವಾತ್ಮ ಪರಮಾತ್ಮ ಸಾಕ್ಷಾತ್ಕಾರ ಸಾಧ್ಯವಾಗುತ್ತದೆ.
knm_04689_00117309038	ನಿಲ್ದಾಣದ ಸಂಚರಿಸುವ ವಲಯದ ಸ್ಥಾನ ಮತ್ತು ವೇಗ ಬದಲಾಗುತ್ತದೆ
knm_04526_00129915153	ಇಲ್ಲಿ ನ್ಯಾಯಾಲಯದ ಕಾರ್ಯವ್ಯಾಪ್ತಿ ಕ್ಷೇತ್ರವು ಎರಡು ಪ್ರಕಾರದ್ದಿರುತ್ತದೆ
knm_02352_00787641661	1906ರಲ್ಲಿ ಅಂತಾರಾಷ್ಟ್ರೀಯ ಶಾಸನ ಸಂಸ್ಥೆ ಒಂದು ಸಿದ್ಧಾಂತವನ್ನು ಅಂಗೀಕರಿಸಿತು.
knm_01114_01646294806	ಹಾಡುವವರಿಗೆ ಮನೆಮನೆಯಲ್ಲೂ ದೀಪಕ್ಕೆ ಎಣ್ಣೆ ಬಟ್ಟೆ ಅಕ್ಕಿ ಹಣ್ಣು ತೆಂಗಿನಕಾಯಿ ಹಬ್ಬದ ತಿಂಡಿ ಚಿಲ್ಲರೆ ಹಣ ಕೊಡುತ್ತಾರೆ
knm_04992_01895738092	ಒಂದು ಆಡಳಿತದ ವಿಭಾಗದಲ್ಲಿ ಅಂತಪಾಲರು ತಮ್ಮ ಕಾರ್ಯಭಾರವನ್ನು ನಿರ್ವಹಿಸುತ್ತಿದ್ದರು.
knm_07918_01605787227	ಸಮೀಪದಲ್ಲಿ ವಿದ್ಯುತ್ತಿನ ಮೂಲಕ ಪೂರಣವಾದ ಇನ್ನೊಂದು ವಸ್ತುವಿದ್ದರೇ ಈ ಶಕ್ತಿಯು ಸೊನ್ನೆಯಾಗಿರುವುದಿಲ್ಲ.
knm_00378_00909406403	ಈ ಸಂಸ್ಥೆಯ ಕಾರ್ಯಕ್ಷೇತ್ರ ಬಹು ವಿಶಾಲವಾಗಿದೆ.
knm_00180_01708454408	ಈ ಚಿಕಿತ್ಸೆಯನ್ನು ಬೇರೆ ಬೇರೆ ಸಸ್ಯಗಳಲ್ಲಿ ಬೇರೆ ಬೇರೆ ಹಂತಗಳಲ್ಲಿ ಕೊಡಬೇಕಾಗುವುದು.
knm_02533_01459234831	ಇನ್ನೂರು ಮೀಟರ್‌ಗಳಲ್ಲಿ
knm_00811_00103819405	ಅಲ್ಲದೇ ದೊಡ್ಡದಾದ ಡ್ರಾಯರ್ ಅಥವಾ ಘಟಕದ ಗೋಡೆಗಳಿಗೆ ಕಟ್ಟಲಾಗಿರುವ ಬಲೆಗಳಲ್ಲಿ ವೈಯಕ್ತಿಕವಾಗಿ ತಮಗೆ ಅಗತ್ಯವಿರುವ ವಸ್ತುಗಳನ್ನು ಶೇಖರಿಸಿಟ್ಟುಕೊಳ್ಳಬಹುದು
knm_06971_01366773570	ಅಂಗಸ್ಥಲಗಳು ನಲ್ವತ್ನಾಲ್ಕು
knm_00417_01208028270	ಇನ್ನೂರು ಗಜಗಳಲ್ಲಿ
knm_02533_01786459247	ಎರಡು ಕಿಲೋಮೀಟರ್‌ಗಳಲ್ಲಿ
knm_00378_01058185396	ಇಲ್ಲಿ ಖಂಡಾಂತರ ವಾಯುಗುಣವಿದೆ.
knm_05066_00261594491	ಗಂಗಾಷ್ಟಮಿಯಂದು ಇಲ್ಲಿ ಜಾತ್ರೆ ನಡೆಯುವುದು.
knm_00378_00302752503	ದೇಶದ ಆರ್ಥಿಕಾಭಿವೃದ್ಧಿ ವ್ಯಾಪಾರ ವಾಣಿಜ್ಯಗಳನ್ನು ಅವಲಂಬಿಸಿದ್ದುದರಿಂದ ಕೌಟಿಲ್ಯನು ಪಾಶ್ಚಾತ್ಯ ವಾಣಿಜ್ಯೋದ್ಯಮಗಳನ್ನು ದೇಶದಲ್ಲಿ ನೆಲೆಸುವಂತೆ ಪ್ರೋತ್ಸಾಹಿಸುತ್ತಿದ್ದನು
